=== Unique GPU telemetry hosts for concurrency=4 ===
   5612 nid008349
   5612 nid008352

=== First telemetry rows ===
host,timestamp,gpu_index,uuid,name,memory_used_mb,memory_total_mb,gpu_util_percent,power_watts,temp_c
nid008349,2026/05/03 20:29:49.089, 0, GPU-ae1f7b10-d1d8-51cf-b45d-1bd138261533, NVIDIA A100-SXM4-80GB, 73933, 81920, 0, 90.33, 31
nid008349,2026/05/03 20:29:49.092, 1, GPU-3ee15680-aa06-d217-b636-d2f47b6d9c4b, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 88.76, 29
nid008349,2026/05/03 20:29:49.093, 2, GPU-d442761e-aa01-dc19-4933-441ddf340c0f, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 88.79, 30
nid008349,2026/05/03 20:29:49.095, 3, GPU-e9b789ef-d802-47c8-e889-2432e34ac6a1, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 87.74, 29
nid008352,2026/05/03 20:29:49.950, 0, GPU-c8e590fe-c1df-fb38-7bf3-9ed4364cf576, NVIDIA A100-SXM4-80GB, 74693, 81920, 0, 109.54, 33
nid008352,2026/05/03 20:29:49.954, 1, GPU-5efb5c1d-1cd8-daca-bd51-2f30d62f6e1e, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 112.75, 31
nid008352,2026/05/03 20:29:49.955, 2, GPU-1d24ec01-d8bb-a3cf-73c2-7d6014d1dd4d, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 114.07, 33
nid008352,2026/05/03 20:29:49.957, 3, GPU-689a6e7c-a622-65fb-9f4d-887ba745f660, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 111.16, 31
nid008349,2026/05/03 20:29:52.886, 0, GPU-ae1f7b10-d1d8-51cf-b45d-1bd138261533, NVIDIA A100-SXM4-80GB, 73933, 81920, 0, 90.20, 31
nid008349,2026/05/03 20:29:52.889, 1, GPU-3ee15680-aa06-d217-b636-d2f47b6d9c4b, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 88.86, 29
nid008349,2026/05/03 20:29:52.890, 2, GPU-d442761e-aa01-dc19-4933-441ddf340c0f, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 88.68, 30
nid008349,2026/05/03 20:29:52.892, 3, GPU-e9b789ef-d802-47c8-e889-2432e34ac6a1, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 87.74, 29
nid008352,2026/05/03 20:29:53.756, 0, GPU-c8e590fe-c1df-fb38-7bf3-9ed4364cf576, NVIDIA A100-SXM4-80GB, 74693, 81920, 0, 109.41, 33
nid008352,2026/05/03 20:29:53.759, 1, GPU-5efb5c1d-1cd8-daca-bd51-2f30d62f6e1e, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 112.89, 31
nid008352,2026/05/03 20:29:53.761, 2, GPU-1d24ec01-d8bb-a3cf-73c2-7d6014d1dd4d, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 113.91, 33
nid008352,2026/05/03 20:29:53.762, 3, GPU-689a6e7c-a622-65fb-9f4d-887ba745f660, NVIDIA A100-SXM4-80GB, 74683, 81920, 0, 111.29, 31
nid008349,2026/05/03 20:29:56.631, 0, GPU-ae1f7b10-d1d8-51cf-b45d-1bd138261533, NVIDIA A100-SXM4-80GB, 73933, 81920, 0, 90.33, 31
nid008349,2026/05/03 20:29:56.634, 1, GPU-3ee15680-aa06-d217-b636-d2f47b6d9c4b, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 88.86, 29
nid008349,2026/05/03 20:29:56.635, 2, GPU-d442761e-aa01-dc19-4933-441ddf340c0f, NVIDIA A100-SXM4-80GB, 73911, 81920, 0, 88.68, 30
